Day;Cell;ABF;Age (D);Rs (<25);Vm;Vm (LP14);Vh;Rin;SD;?;Cm;Peak;Time_Ampl;Threshold ;Threshold(LP14);Thres time;AP dur;maxdV/dT;Delay;Comments;rheobase pA;;;;1,67;12,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.11.2022;2;10;P26;14;-70;-84;-61,3889;178,438;15,0924;65,692;368,1502819;39,7034;135,42;-46,8695;-60,8695;134,66;1,23405;237,274;12,64;regular;100;-52,887;684,839;-54,8706;41,31;11,49430;;;;225;5;7,93097;6,028;;;;225;1;;;;;;225;5;9,40203;46,382;7,46568;;;551;4;5,4714;21,815;;;;351;1;;;;;;225;9;13,0337;40,519;1,946520
5.11.2022;1;1;P27;16;-70;-84;-61,9399;335,516;32,1336;58,054;173,0290061;33,7830;143,96;-40,9873;-54,9873;143,22;1,3363;112,152;11,82;doublet;50;-55,1147;557,698;-55,542;43,58;18,52080;;;;250;6;9,54199;7,501;;;;250;2;;;;;;250;6;8,99496;45,872;5,69358;;;602;4;6,9628;20,781;;;;401;1;;;;;;250;9;13,0875;32,468;1,297400
15.11.2022;2;5;P27;21;-61;-75;-60,5188;141,989;5,99819;32,8133;231,0974794;33,2947;139,42;-35,6047;-49,6047;138,8;1,15392;171,661;7,68001;regular;251;-48,0625;295,072;-48,1873;43,56;25,4324;;;;275;7;10,3784;12,118;;;;275;2;;;;;;275;6;8,31486;53,192;2,74043;;;651;4;12,9500;38,403;5,24885;;;451;2;;;;;;275;11;15,1457;33,647;1,724090
16.11.2022;1;0;P28;17;-63;-77;-61,2216;175,458;6,85225;58,9801;336,1493919;32,9285;142,02;-44,8996;-58,8996;141,36;1,42294;178,528;10,08;doublet;175;-49,4385;1501,78;-49,53;44,08;9,209923;;;;300;8;13,458;14,828;;;;300;3;5,71646;7,716;;;;301;7;9,62437;56,561;3,66516;;;701;4;25,4324;34,014;2,58776;;;501;2;;;;;;301;12;17,7736;35,920;1,050290
16.11.2022;2;5;P28;19;-66;-80;-61,2266;246,485;14,4011;44,1457;179,1009595;26,7944;148,38;-44,0148;-58,0148;138,48;1,17128;196,838;7,12;regular;75;-49,8352;517,904;-51,3306;41,26;17,7736;;;;350;12;16,6131;114,679;6,1514;;;350;3;10,10780;5,225;;;;351;6;18,52080;59,809;4,25598;;;751;5;6,7385;47,801;2,41874;;;551;2;;;;;;351;12;16,0017;44,563;0,989305
d230121;a;0;27;26;-76;-90;-62,0055;318,048;33,7735;57,1505;179,6914302;27,3743;144,7;-35,377;-49,377;143,94;1,2676;161,743;12,78;;75;-49,408;564,79;-49,8657;40,52;;;;;400;13;18,121;57,471;3,4299;;;401;3;9,77199;9,068;;;;401;8;15,01500;62,972;3,35265;;;802;7;10,2441;27,027;;;;601;3;4,00213;101,626;;;;;;;;
d260719;a;1;20;15;-70;-84;-62,0386;151,406;13,8868;32,153;212;28,1982;142,22;-38,4917;-52,4917;141,84;0,635312;312,042;10,64;one peak + shoulder;50;-50,4761;442,26;-51,178;40,82;;;;;451;13;17,2937;113,636;3,2364;;;451;3;9,39379;10,073;;;;;;;;;;;852;6;15,1653;46,817;1,44569;;;651;3;9,209923;109,170;;;;;;;;
120220;b;10;28;13;-67;-81;-60,0406;359,847;25,7838;54,266;151;46,3867;142,38;-40,9799;-54,9799;141,88;0,991598;354,767;10,52;;75;-51,0254;442,42;-52,887;40,2;;;;;501;16;20,8312;126,903;3,401;;;501;3;11,49430;12,494;;;;;;;;;;;902;7;15,9207;37,425;1,49252;;;;;;;;;;;;;;
d241018;b;2;22;22;-56;-70;-64,6664;248,783;21,7497;56,196;226;33,5693;132,26;-38,663;-52,663;131,68;1,00128;241,089;8,23999;double pick;200;;;-43,8732;145,32;;;;;551;17;26,0209;130,890;2,8534;;;554;4;5,80855;19,320;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d170420;a;1;26;22;-60;-74;-62,2862;350,573;42,9217;29,342;84;37,262;142,58;-36,4205;-50,4205;141,96;1,15167;230,408;10,74;no enough Aps;126;-53,6194;524,46;-56,2744;39,86;;;;;600;16;21,6779;134,409;2,4355;;;601;4;6,85354;20,921;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
