Day;Cell;ABF;Age (D);Rs (<25);Vm;Vm (LP14);Vh;Rin;SD;?;Cm;Peak;Time_Ampl;Threshold ;Threshold(LP14);Thres time;AP dur;maxdV/dT;Delay;Comments;rheobase pA;;;;1,67;12,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Day;Cell;ABF;Age (D);Rs (<25);Vm;Vm (LP14);Vh;Rin;SD;?;Cm;Peak;Time_Ampl;Threshold ;Threshold (LP14) ;Thres time;AP dur;maxdV/dT;ADP area;fAHP;fAHP time;Delay;Comments;Burst;Max Freq;Rheo pA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d270420;a;1;27;13;-58;-72;-61,1945;264,122;52,909;51,133;194;44,9219;141,6;-42,4357;-56,4357;141,1;0,968068;359,344;663,11;-49,8352;39,8;11,92;;2,5;4,14;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;b;12;27;11;-60;-74;-60,4444;239,887;23,5268;71,22;297;44,5251;139,92;-30,64;-44,64;139,46;0,871274;319,672;874,63;-51,9104;40,34;8,36;;1,51;4,27;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d180620;b;21;24;22;-70;-84;-59,02;341,064;26,0682;51,17;150;34,6985;140,32;-28,7374;-42,7374;139,88;0,877859;279,999;540,69;-51,4832;;8,70001;;1,62;5,21;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d220620;a;1;28;14;-76;-90;-59,283;285,608;31,2211;71,7202;251;38,4521;141,26;-36,8424;-50,8424;140,8;0,888763;323,486;353,72;-50,1099;40,24;9,46001;;1,52;4,85;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d180720;a;1;27;9;-66;-80;-62,5727;341,85;47,0798;110,821;324;44,342;141,96;-34,1076;-48,1076;141,48;1,03677;316,62;556,62;-51,4832;39,38;10,18;;1,39;7,87;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;294,5062;36,16098;71,21284;243;41,38792;141,012;-34,55262;-48,55262;140,544;0,9285468;319,8242;597,754;-50,96438;39,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;18.11.2022;1;5;P26;13;-57;-71;-60,7413;284,291;10,2112;62,438;219,6270723;9,58252;138,86;-36;-50;138,44;0,647685;87,738;7,30;doublet A25?;75;-49,2164;612,796;-49,3774;43,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;18.11.2022;2;7;P26;17;-72;-86;-60,2543;327,726;17,5446;79,176;241,5920617;11,4136;142,8;-30;-44;142,36;0,704558;86,9751;11,08;high firing ;25;-43,0603;1550,42;-43,0603;42,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;18.11.2022;3;14;P26;15;-72;-86;-60,475;245,635;11,4223;60,171;244,9610194;14,1907;142,18;-33,5;-47,5;141,72;0,75104;99,9451;10,44;high firing ;50;-45,99;1088,33;-46,051;42,32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Day;Cell;ABF;Age (D);Rs (<25);Vm;Vm (LP14);Vh;Rin;SD;?;Cm;AP peak;APtime;Threshold ;Threshold (LP14) ;Thres time;AP dur;maxdV/dT;Delay;Comments;Rheo pA;ADP area;fAHP;fAHP time;Burst;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d241018;b;2;22;22;-56;-70;-64,6664;;21,7497;;#DIV/0!;33,5693;132,26;-38,663;-52,663;131,68;1,00128;241,089;8,23999;double pick;200;;-43,8732;145,32;1,67;12,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d170420;a;1;26;22;-60;-74;-62,2862;350,573;42,9217;29,342;84;37,262;142,58;-36,4205;-50,4205;141,96;1,15167;230,408;10,74;no enough Aps;126;524,46;-56,2744;39,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;b;28;26;18;-68;-82;-60,7478;321,626;35,6538;59,645;185;43,0298;137,68;-39,7885;-53,7885;137,14;0,975425;313,568;5,8;;50;750,58;-52,0325;39,58;1,37;3,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d150720;c;6;24;14;-64;-78;-61,6096;132,518;31,4938;43,765;330;38,9404;139,34;-41,6336;-55,6336;138,7;1,07159;254,822;7,48;;100;498,44;-52,3376;39,9;1,1;2,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d160720;a;1;25;15;-70;-84;-60,6824;186,678;9,43962;44,6166;239;47,6379;141,72;-38,1419;-52,1419;141,18;0,901459;340,271;9,84;;75;665,6;-51,8799;39,8;1,45;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d170720;a;0;26;16;-70;-84;-59,8962;191,594;16,1272;59,194;309;49,4385;142,3;-35,1302;-49,1302;141,86;0,91189;373,077;10,48;high thresh burst?;25;665,6;-49,0112;38,98;1,3;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;230121;b;13;27;18;-77;-91;-61,1027;342,927;35,5934;46,872;136,682151;27,2827;147,14;-43,3805;-57,3805;146,46;1,1623;205,994;14,98;borderline;125;229,59;-54,5349;40,42;1,73;2,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;c;26;27;17;-74;-88;-59,7119;171,682;36,3954;53,221;309,9975536;19,1956;133,48;-40,3345;-54,3345;132,7;1,27969;141,144;5,56;;50;968,46;-53,1311;40,2;2,46;4,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d250121;a;0;29;21;-72;-86;-63,2688;191,468;8,68146;40,877;213,4925941;31,9214;141,08;-40,2149;-54,2149;140,44;1,09606;221,252;9,08;low thresh burst;75;916,55;-46,6614;40,2;16,56;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d040221;a;0;25;18;-70;-84;-61,8488;313,141;18,3536;63,05;201,346997;21,3928;142,8;-40,1383;-54,1383;142,08;1,27798;165,558;10,76;;75;796,34;-51,9409;40,44;2,26;3,87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d060221;b;16;27;18;-70;-84;-62,9498;189,895;21,1442;61,251;322,5519366;30,7617;140,84;-33,8429;-47,8429;140,16;1,06647;196,075;8,8;no enough Aps;275;938,22;-52,3682;1,02207;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d010222;a;1;24;14;-70;-84;-62,4149;482,546;33,1461;71,564;148,3050321;24,6582;142,92;-37,1083;-51,1083;142,18;1,28403;170,898;11,04;;51;;;;1,28839;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d090322;b;4;25;13;-76;-90;-62,9317;349,472;18,0075;52,139;149,1936407;41,748;143,98;-35,2745;-49,2745;143,26;1,3095;222,778;11,4;;75;;;;1,36473;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;-43,8732;145,32;8,23999;double pick;1,67;12,26;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;524,46;-56,2744;39,86;10,74;no enough Aps;;;126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;750,58;-52,0325;39,58;5,8;;1,37;3,08;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;498,44;-52,3376;39,9;7,48;;1,1;2,04;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;665,6;-51,8799;39,8;9,84;;1,45;7,2;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;665,6;-49,0112;38,98;10,48;high thresh burst?;1,3;7,2;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;229,59;-54,5349;40,42;14,98;borderline;1,73;2,04;125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;968,46;-53,1311;40,2;5,56;;2,46;4,38;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;916,55;-46,6614;40,2;9,08;low thresh burst;16,56;100;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;796,34;-51,9409;40,44;10,76;;2,26;3,87;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;938,22;-52,3682;1,02207;8,8;no enough Aps;;;275;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;11,04;;1,28839;;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;11,4;;1,36473;;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
